trade_id,date,book,ticker,side,shares,price,cost,lot_id,reason_code,decision_id
lg-growth-2026-09-23-001,2026-09-23,lg-growth,CASH,deposit,1000000,1,0,,inception_capital,lg-growth-2026-09-23-2
lg-growth-2026-09-23-002,2026-09-23,lg-growth,SNDK,buy,15,1816.5699,13.62,lg-growth-2026-09-23-002,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-003,2026-09-23,lg-growth,MU,buy,26,1071.88,13.93,lg-growth-2026-09-23-003,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-004,2026-09-23,lg-growth,EQNR,buy,665,42.9,14.26,lg-growth-2026-09-23-004,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-005,2026-09-23,lg-growth,MPC,buy,73,388.38,14.18,lg-growth-2026-09-23-005,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-006,2026-09-23,lg-growth,CNQ,buy,599,47.64,14.27,lg-growth-2026-09-23-006,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-007,2026-09-23,lg-growth,DELL,buy,51,549.83,14.02,lg-growth-2026-09-23-007,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-008,2026-09-23,lg-growth,BP,buy,641,44.49,14.26,lg-growth-2026-09-23-008,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-009,2026-09-23,lg-growth,AVGO,buy,80,354.99,14.2,lg-growth-2026-09-23-009,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-010,2026-09-23,lg-growth,PLTR,buy,148,191.79,14.19,lg-growth-2026-09-23-010,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-011,2026-09-23,lg-growth,PSX,buy,111,256.48,14.23,lg-growth-2026-09-23-011,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-012,2026-09-23,lg-growth,VLO,buy,75,375.84,14.09,lg-growth-2026-09-23-012,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-013,2026-09-23,lg-growth,GEV,buy,30,951.82,14.28,lg-growth-2026-09-23-013,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-014,2026-09-23,lg-growth,LLY,buy,24,1150.99,13.81,lg-growth-2026-09-23-014,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-015,2026-09-23,lg-growth,WDC,buy,60,473.69,14.21,lg-growth-2026-09-23-015,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-016,2026-09-23,lg-growth,NVDA,buy,126,225.51,14.21,lg-growth-2026-09-23-016,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-017,2026-09-23,lg-growth,XOM,buy,177,161.23,14.27,lg-growth-2026-09-23-017,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-018,2026-09-23,lg-growth,AXP,buy,94,301.96,14.19,lg-growth-2026-09-23-018,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-019,2026-09-23,lg-growth,APH,buy,347,82.19,14.26,lg-growth-2026-09-23-019,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-020,2026-09-23,lg-growth,APP,buy,90,315.25,14.19,lg-growth-2026-09-23-020,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-021,2026-09-23,lg-growth,ANET,buy,140,203.47,14.24,lg-growth-2026-09-23-021,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-022,2026-09-23,lg-growth,STX,buy,30,923.86,13.86,lg-growth-2026-09-23-022,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-023,2026-09-23,lg-growth,GS,buy,30,936.36,14.05,lg-growth-2026-09-23-023,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-024,2026-09-23,lg-growth,ADI,buy,74,385.23,14.25,lg-growth-2026-09-23-024,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-025,2026-09-23,lg-growth,ASML,buy,16,1744.61,13.96,lg-growth-2026-09-23-025,rules_inception,lg-growth-2026-09-23-2
lg-growth-2026-09-23-026,2026-09-23,lg-growth,LRCX,buy,92,307.28,14.13,lg-growth-2026-09-23-026,rules_inception,lg-growth-2026-09-23-2
